チェック,DOI,タイトル,著者,出版ジャーナル,ジャーナル2年平均被引用,ジャーナルh指数,出版日,引用数,出版年,内部ID,一覧URL
,10.3389/fevo.2026.1799425,"Harvesting and economic potential of Irvingia gabonensis (Aubry-Lecomte ex O’Rorke) Baill. In Edo State, Nigeria",O.H. Opute；O. Arabomen；SO Jimoh,Frontiers in Ecology and Evolution,2.861,105,2026-04-28,0,2026,W7156898229,https://doi.org/10.3389/fevo.2026.1799425
,10.3389/fsufs.2026.1792816,Beyond timber: a review on the role of non-timber forest products for ecological sustainability and rural empowerment in India,Preyoshi Chakrabarti；Arkajyoti Dutta,Frontiers in Sustainable Food Systems,3.5,102,2026-04-28,0,2026,W7157260355,https://doi.org/10.3389/fsufs.2026.1792816
,10.3389/fsufs.2026.1771805,Transformational adaptation and the adoption of soil health practices on US Pacific Northwest grain farms,JANE KOLODINSKY；Soren Newman；Darin Saul；Michelle Tynan；Ryan Boylan,Frontiers in Sustainable Food Systems,3.5,102,2026-04-28,0,2026,W7157347539,https://doi.org/10.3389/fsufs.2026.1771805
,10.14719/pst.12101,Economics and supply chain analysis of major spices in Middle Gujarat,RS Pundir；DR Vahoniya；A Rajwadi；B Bagda,Plant Science Today,0.272,27,2026-04-28,0,2026,W7156682322,https://doi.org/10.14719/pst.12101
,10.17654/0973699926002,DECENTRALIZED ARCHITECTURES IN AGRICULTURE 4.0: A COMPREHENSIVE ANALYSIS OF BLOCKCHAIN INTEGRATION ACROSS THE AGRICULTURAL VALUE CHAIN,Ayan Paul,Advances in Computer Science and Engineering,0,8,2026-04-27,0,2026,W7156237165,https://doi.org/10.17654/0973699926002
,10.30910/turkjans.1820235,Access to Credit as a Climate Change Adaptation Strategy for Cotton Farmers: Evidence from Aydın-Söke,Güngör Karakaş；Pınar Latife Kara,Türk Tarım ve Doğa Bilimleri Dergisi,0.625,13,2026-04-27,0,2026,W7156290828,https://doi.org/10.30910/turkjans.1820235
,10.3389/frsus.2026.1717610,The sustainability of palm oil farming by certified independent smallholders in Jambi,Fuad Muchlis；Resti Prastika Destiarni；Dompak Napitupulu；Ahmad Zainuddin；Muhammad Abdul Aziz；Araz Meilin,Frontiers in Sustainability,3.007,40,2026-04-27,0,2026,W7156183633,https://doi.org/10.3389/frsus.2026.1717610
,10.54536/ajaset.v10i1.7011,"Knowledge, Attitudes, and Practices Towards Farming Among TechVoc Students in Asuncion, Davao Del Norte",Hanelore E. Lumanda；Virgelio O. Cabanesas,American Journal of Agricultural Science Engineering and Technology,0.667,5,2026-04-27,0,2026,W7155951053,https://doi.org/10.54536/ajaset.v10i1.7011
,10.26877/adarmaacitya.v2i1.574,Mangrove Loss and Blue Carbon decline in Indonesia’s Coastal Regions,M Aliya；S Hastha；P Poorvajha,Community Service Journal Adarma Acitya,0,0,2026-04-27,0,2026,W7156302696,https://doi.org/10.26877/adarmaacitya.v2i1.574
,10.61194/ijjm.v7i2.2152,Integrating Circular Economy and Sustainable Innovation to Drive Value in Ergo-Iconic Agricultural Products,Andriyansah；Fatia Fatimah；Chandra Murti Dewi Widowati Hermajiwandini；Suci Nurhayati；Maria Augustine Graciafernandy；Nurdiyah,Ilomata International Journal of Management,0.345,12,2026-04-27,0,2026,W7156192204,https://doi.org/10.61194/ijjm.v7i2.2152
,10.30910/turkjans.1795255,Reservation Wage for the Sustainability of Agricultural Employment,Merve Bozdemir；Zeki BAYRAMOĞLU；Kemalettin Ağızan,Türk Tarım ve Doğa Bilimleri Dergisi,0.625,13,2026-04-27,0,2026,W7156361999,https://doi.org/10.30910/turkjans.1795255
,10.1007/s11119-026-10339-4,Does farming make us human? a report on two Australian public deliberations,Angie Sassano；Robert Sparrow；Christopher Mayes；Cheryl Travers；Megan Moss；Ashley Rootsey；LELAND GLENNA；Chris Degeling,Precision Agriculture,6.116,113,2026-04-27,0,2026,W7155718302,https://doi.org/10.1007/s11119-026-10339-4
,10.53663/turjfas.1786928,"Assessment of the economic efficiency of dry-season onion production in Adamawa State, Nigeria",Pwano Jauro；David Chinda Maurice；Dengle Yuniyus Giroh；Amurtiya Michael,Turkish Journal of Food and Agriculture Sciences,0.792,6,2026-04-26,0,2026,W7155682040,https://doi.org/10.53663/turjfas.1786928
,10.65339/ijsair.v2.i2.297,Leveraging Rice Crop Manager through Application of Biofertilizers in Rice Production in Isabela,Gemma Bagunu,International Journal of Sustainability and Advanced Integrated Research,0.009,1,2026-04-26,0,2026,W7155644445,https://doi.org/10.65339/ijsair.v2.i2.297
,10.1038/s41598-026-48970-w,A multi-scale ensemble machine learning framework for assessing human–elephant conflict in the Brahmaputra flood plain,Kajoli Begum；Bishal Kumar Majhi；Mriganka Shekhar Sarkar；Ahanthem Rebika Devi；Wishfully Mylliemngap；P. Swapna Reddy,Scientific Reports,4.162,454,2026-04-25,0,2026,W7155617606,https://doi.org/10.1038/s41598-026-48970-w
